sample_id,batch_id,material_id,test_name,analyte,result_value,unit,spec_low,spec_high,result_status,sampled_ts,received_ts,approved_ts,analyst_id,tat_days
S-B2025-00001-Assay,B2025-00001,FG-MAB1-FILL,Assay,API,99.0886,%,95.0,105.0,PASS,2025-01-06 14:14:00,2025-01-06 16:14:00,2025-01-08 11:22:11.546872,AN003,1.8806891999074076
S-B2025-00001-Impurity A,B2025-00001,FG-MAB1-FILL,Impurity A,Imp A,0.156,%,0.0,0.5,PASS,2025-01-06 14:14:00,2025-01-06 16:14:00,2025-01-08 11:22:11.546872,AN006,1.8806891999074076
S-B2025-00001-pH,B2025-00001,FG-MAB1-FILL,pH,pH,7.1048,,6.8,7.4,PASS,2025-01-06 14:14:00,2025-01-06 16:14:00,2025-01-08 11:22:11.546872,AN015,1.8806891999074076
S-B2025-00001-Endotoxin,B2025-00001,FG-MAB1-FILL,Endotoxin,EU/mL,0.0546,EU/mL,0.0,0.25,PASS,2025-01-06 14:14:00,2025-01-06 16:14:00,2025-01-08 11:22:11.546872,AN006,1.8806891999074076
S-B2025-00001-Bioburden,B2025-00001,FG-MAB1-FILL,Bioburden,CFU/mL,1.9429,CFU/mL,0.0,10.0,PASS,2025-01-06 14:14:00,2025-01-06 16:14:00,2025-01-08 11:22:11.546872,AN003,1.8806891999074076
S-B2025-00002-Assay,B2025-00002,FG-MAB1-FILL,Assay,API,100.2386,%,95.0,105.0,PASS,2025-01-07 05:35:00,2025-01-07 10:35:00,2025-01-09 07:02:22.068949,AN014,2.0606720943171295
S-B2025-00002-Impurity A,B2025-00002,FG-MAB1-FILL,Impurity A,Imp A,0.1246,%,0.0,0.5,PASS,2025-01-07 05:35:00,2025-01-07 10:35:00,2025-01-09 07:02:22.068949,AN002,2.0606720943171295
S-B2025-00002-pH,B2025-00002,FG-MAB1-FILL,pH,pH,6.9864,,6.8,7.4,PASS,2025-01-07 05:35:00,2025-01-07 10:35:00,2025-01-09 07:02:22.068949,AN001,2.0606720943171295
S-B2025-00002-Endotoxin,B2025-00002,FG-MAB1-FILL,Endotoxin,EU/mL,0.0881,EU/mL,0.0,0.25,PASS,2025-01-07 05:35:00,2025-01-07 10:35:00,2025-01-09 07:02:22.068949,AN017,2.0606720943171295
S-B2025-00002-Bioburden,B2025-00002,FG-MAB1-FILL,Bioburden,CFU/mL,0.238,CFU/mL,0.0,10.0,PASS,2025-01-07 05:35:00,2025-01-07 10:35:00,2025-01-09 07:02:22.068949,AN008,2.0606720943171295
S-B2025-00003-Assay,B2025-00003,FG-MAB1-FILL,Assay,API,99.0996,%,95.0,105.0,PASS,2025-01-07 16:41:00,2025-01-07 22:41:00,2025-01-09 15:03:12.679955,AN004,1.9320912031828703
S-B2025-00003-Impurity A,B2025-00003,FG-MAB1-FILL,Impurity A,Imp A,0.1765,%,0.0,0.5,PASS,2025-01-07 16:41:00,2025-01-07 22:41:00,2025-01-09 15:03:12.679955,AN006,1.9320912031828703
S-B2025-00003-pH,B2025-00003,FG-MAB1-FILL,pH,pH,7.0105,,6.8,7.4,PASS,2025-01-07 16:41:00,2025-01-07 22:41:00,2025-01-09 15:03:12.679955,AN010,1.9320912031828703
S-B2025-00003-Endotoxin,B2025-00003,FG-MAB1-FILL,Endotoxin,EU/mL,0.0386,EU/mL,0.0,0.25,PASS,2025-01-07 16:41:00,2025-01-07 22:41:00,2025-01-09 15:03:12.679955,AN017,1.9320912031828703
S-B2025-00003-Bioburden,B2025-00003,FG-MAB1-FILL,Bioburden,CFU/mL,0.8001,CFU/mL,0.0,10.0,PASS,2025-01-07 16:41:00,2025-01-07 22:41:00,2025-01-09 15:03:12.679955,AN005,1.9320912031828703
S-B2025-00004-Assay,B2025-00004,FG-VA01,Assay,API,98.5347,%,95.0,105.0,PASS,2025-01-11 20:22:00,2025-01-12 00:22:00,2025-01-12 23:46:44.646909,AN013,1.142183413298611
S-B2025-00004-Impurity A,B2025-00004,FG-VA01,Impurity A,Imp A,0.5767,%,0.0,0.5,OOT,2025-01-11 20:22:00,2025-01-12 00:22:00,2025-01-12 23:46:44.646909,AN005,1.142183413298611
S-B2025-00004-pH,B2025-00004,FG-VA01,pH,pH,7.012,,6.8,7.4,PASS,2025-01-11 20:22:00,2025-01-12 00:22:00,2025-01-12 23:46:44.646909,AN017,1.142183413298611
S-B2025-00004-Endotoxin,B2025-00004,FG-VA01,Endotoxin,EU/mL,0.0812,EU/mL,0.0,0.25,PASS,2025-01-11 20:22:00,2025-01-12 00:22:00,2025-01-12 23:46:44.646909,AN002,1.142183413298611
S-B2025-00004-Bioburden,B2025-00004,FG-VA01,Bioburden,CFU/mL,1.0917,CFU/mL,0.0,10.0,PASS,2025-01-11 20:22:00,2025-01-12 00:22:00,2025-01-12 23:46:44.646909,AN018,1.142183413298611
S-B2025-00005-Assay,B2025-00005,FG-VA01,Assay,API,98.6675,%,95.0,105.0,PASS,2025-01-19 13:50:00,2025-01-19 18:50:00,2025-01-21 13:03:56.060188,AN001,1.9680099558796296
S-B2025-00005-Impurity A,B2025-00005,FG-VA01,Impurity A,Imp A,0.2335,%,0.0,0.5,PASS,2025-01-19 13:50:00,2025-01-19 18:50:00,2025-01-21 13:03:56.060188,AN015,1.9680099558796296
S-B2025-00005-pH,B2025-00005,FG-VA01,pH,pH,7.1393,,6.8,7.4,PASS,2025-01-19 13:50:00,2025-01-19 18:50:00,2025-01-21 13:03:56.060188,AN016,1.9680099558796296
S-B2025-00005-Endotoxin,B2025-00005,FG-VA01,Endotoxin,EU/mL,0.0323,EU/mL,0.0,0.25,PASS,2025-01-19 13:50:00,2025-01-19 18:50:00,2025-01-21 13:03:56.060188,AN001,1.9680099558796296
S-B2025-00005-Bioburden,B2025-00005,FG-VA01,Bioburden,CFU/mL,0.6486,CFU/mL,0.0,10.0,PASS,2025-01-19 13:50:00,2025-01-19 18:50:00,2025-01-21 13:03:56.060188,AN017,1.9680099558796296
S-B2025-00006-Assay,B2025-00006,FG-VA01,Assay,API,99.8331,%,95.0,105.0,PASS,2025-01-19 18:16:00,2025-01-19 23:16:00,2025-01-21 16:43:57.899218,AN004,1.9360867965046298
S-B2025-00006-Impurity A,B2025-00006,FG-VA01,Impurity A,Imp A,0.0031,%,0.0,0.5,PASS,2025-01-19 18:16:00,2025-01-19 23:16:00,2025-01-21 16:43:57.899218,AN010,1.9360867965046298
S-B2025-00006-pH,B2025-00006,FG-VA01,pH,pH,7.0488,,6.8,7.4,PASS,2025-01-19 18:16:00,2025-01-19 23:16:00,2025-01-21 16:43:57.899218,AN007,1.9360867965046298
