batch_id,step_id,step_code,step_name,sequence,step_start,step_end,duration_min,wait_before_min,target_temp_C,target_pH,equipment_id
B2025-00001,CHRG-1,CHRG,Charge,1,2025-01-06 00:00:00,2025-01-06 01:45:00,105,0,20,7.0,VIAL-1
B2025-00001,MIX-2,MIX,Mix,2,2025-01-06 01:45:00,2025-01-06 06:30:00,285,0,22,7.0,VIAL-1
B2025-00001,HEAT-3,HEAT,Heat,3,2025-01-06 06:30:00,2025-01-06 08:26:00,116,0,37,7.0,VIAL-1
B2025-00001,HOLD-4,HOLD,Hold,4,2025-01-06 08:26:00,2025-01-06 12:56:00,270,0,37,7.0,VIAL-1
B2025-00001,COOL-5,COOL,Cool,5,2025-01-06 13:56:00,2025-01-06 15:46:00,110,60,5,7.0,VIAL-1
B2025-00001,FLT-6,FLT,Filter,6,2025-01-06 15:46:00,2025-01-06 17:32:00,106,0,20,7.0,VIAL-1
B2025-00001,FILL-7,FILL,Fill/Pack,7,2025-01-06 19:02:00,2025-01-06 22:14:00,192,90,20,7.0,VIAL-1
B2025-00002,CHRG-1,CHRG,Charge,1,2025-01-06 07:00:00,2025-01-06 08:44:00,104,0,20,7.0,VIAL-2
B2025-00002,MIX-2,MIX,Mix,2,2025-01-06 08:44:00,2025-01-06 13:22:00,278,0,22,7.0,VIAL-2
B2025-00002,HEAT-3,HEAT,Heat,3,2025-01-06 13:22:00,2025-01-06 16:02:00,160,0,37,7.0,VIAL-2
B2025-00002,HOLD-4,HOLD,Hold,4,2025-01-06 17:02:00,2025-01-07 00:39:00,457,60,37,7.0,VIAL-2
B2025-00002,COOL-5,COOL,Cool,5,2025-01-07 00:39:00,2025-01-07 01:50:00,71,0,5,7.0,VIAL-2
B2025-00002,FLT-6,FLT,Filter,6,2025-01-07 02:20:00,2025-01-07 04:55:00,155,30,20,7.0,VIAL-2
B2025-00002,FILL-7,FILL,Fill/Pack,7,2025-01-07 05:25:00,2025-01-07 08:35:00,190,30,20,7.0,VIAL-2
B2025-00003,CHRG-1,CHRG,Charge,1,2025-01-07 05:00:00,2025-01-07 06:09:00,69,0,20,7.0,VIAL-1
B2025-00003,MIX-2,MIX,Mix,2,2025-01-07 06:09:00,2025-01-07 08:39:00,150,0,22,7.0,VIAL-1
B2025-00003,HEAT-3,HEAT,Heat,3,2025-01-07 08:39:00,2025-01-07 09:42:00,63,0,37,7.0,VIAL-1
B2025-00003,HOLD-4,HOLD,Hold,4,2025-01-07 10:12:00,2025-01-07 13:36:00,204,30,37,7.0,VIAL-1
B2025-00003,COOL-5,COOL,Cool,5,2025-01-07 13:36:00,2025-01-07 14:47:00,71,0,5,7.0,VIAL-1
B2025-00003,FLT-6,FLT,Filter,6,2025-01-07 14:47:00,2025-01-07 16:52:00,125,0,20,7.0,VIAL-1
B2025-00003,FILL-7,FILL,Fill/Pack,7,2025-01-07 17:22:00,2025-01-07 20:41:00,199,30,20,7.0,VIAL-1
B2025-00004,CHRG-1,CHRG,Charge,1,2025-01-11 04:00:00,2025-01-11 05:44:00,104,0,20,7.0,VIAL-2
B2025-00004,MIX-2,MIX,Mix,2,2025-01-11 05:44:00,2025-01-11 07:45:00,121,0,22,7.0,VIAL-2
B2025-00004,HEAT-3,HEAT,Heat,3,2025-01-11 07:45:00,2025-01-11 11:12:00,207,0,37,7.0,VIAL-2
B2025-00004,HOLD-4,HOLD,Hold,4,2025-01-11 11:12:00,2025-01-11 16:53:00,341,0,37,7.0,VIAL-2
B2025-00004,COOL-5,COOL,Cool,5,2025-01-11 17:53:00,2025-01-11 19:11:00,78,60,5,7.0,VIAL-2
B2025-00004,FLT-6,FLT,Filter,6,2025-01-11 19:41:00,2025-01-11 20:52:00,71,30,20,7.0,VIAL-2
B2025-00004,FILL-7,FILL,Fill/Pack,7,2025-01-11 21:52:00,2025-01-12 02:22:00,270,60,20,7.0,VIAL-2
B2025-00005,CHRG-1,CHRG,Charge,1,2025-01-18 20:00:00,2025-01-18 20:55:00,55,0,20,7.0,VIAL-1
B2025-00005,MIX-2,MIX,Mix,2,2025-01-18 21:55:00,2025-01-19 00:25:00,150,60,22,7.0,VIAL-1
B2025-00005,HEAT-3,HEAT,Heat,3,2025-01-19 00:55:00,2025-01-19 02:55:00,120,30,37,7.0,VIAL-1
B2025-00005,HOLD-4,HOLD,Hold,4,2025-01-19 03:25:00,2025-01-19 07:28:00,243,30,37,7.0,VIAL-1
B2025-00005,COOL-5,COOL,Cool,5,2025-01-19 07:58:00,2025-01-19 09:16:00,78,30,5,7.0,VIAL-1
B2025-00005,FLT-6,FLT,Filter,6,2025-01-19 09:16:00,2025-01-19 11:40:00,144,0,20,7.0,VIAL-1
B2025-00005,FILL-7,FILL,Fill/Pack,7,2025-01-19 12:40:00,2025-01-19 14:50:00,130,60,20,7.0,VIAL-1
B2025-00006,CHRG-1,CHRG,Charge,1,2025-01-19 01:00:00,2025-01-19 02:04:00,64,0,20,7.0,VIAL-2
B2025-00006,MIX-2,MIX,Mix,2,2025-01-19 03:04:00,2025-01-19 04:57:00,113,60,22,7.0,VIAL-2
B2025-00006,HEAT-3,HEAT,Heat,3,2025-01-19 05:57:00,2025-01-19 08:53:00,176,60,37,7.0,VIAL-2
B2025-00006,HOLD-4,HOLD,Hold,4,2025-01-19 08:53:00,2025-01-19 13:18:00,265,0,37,7.0,VIAL-2
B2025-00006,COOL-5,COOL,Cool,5,2025-01-19 14:18:00,2025-01-19 15:29:00,71,60,5,7.0,VIAL-2
B2025-00006,FLT-6,FLT,Filter,6,2025-01-19 16:59:00,2025-01-19 20:10:00,191,90,20,7.0,VIAL-2
B2025-00006,FILL-7,FILL,Fill/Pack,7,2025-01-19 20:10:00,2025-01-19 23:16:00,186,0,20,7.0,VIAL-2
B2025-00007,CHRG-1,CHRG,Charge,1,2025-01-07 08:00:00,2025-01-07 09:23:00,83,0,20,7.0,VIAL-1
B2025-00007,MIX-2,MIX,Mix,2,2025-01-07 09:23:00,2025-01-08 13:23:00,240,0,22,7.0,VIAL-1
B2025-00007,HEAT-3,HEAT,Heat,3,2025-01-09 08:00:00,2025-01-10 15:48:00,145,0,37,7.0,VIAL-1
B2025-00007,HOLD-4,HOLD,Hold,4,2025-01-11 08:00:00,2025-01-14 22:00:00,361,60,37,7.0,VIAL-1
B2025-00007,COOL-5,COOL,Cool,5,2025-01-15 08:00:00,2025-01-16 12:00:00,67,0,5,7.0,VIAL-1
B2025-00007,FLT-6,FLT,Filter,6,2025-01-17 08:00:00,2025-01-18 14:00:00,147,0,20,7.0,VIAL-1
B2025-00007,FILL-7,FILL,Fill/Pack,7,2025-01-19 08:00:00,2025-01-20 16:00:00,247,45,20,7.0,VIAL-1
B2025-00008,CHRG-1,CHRG,Charge,1,2025-01-17 02:00:00,2025-01-17 03:51:00,111,0,20,7.0,VIAL-2
B2025-00008,MIX-2,MIX,Mix,2,2025-01-17 03:51:00,2025-01-17 08:33:00,282,0,22,7.0,VIAL-2
B2025-00008,HEAT-3,HEAT,Heat,3,2025-01-17 08:33:00,2025-01-17 10:35:00,122,0,37,7.0,VIAL-2
B2025-00008,HOLD-4,HOLD,Hold,4,2025-01-17 10:35:00,2025-01-17 17:06:00,391,0,37,7.0,VIAL-2
B2025-00008,COOL-5,COOL,Cool,5,2025-01-17 17:06:00,2025-01-17 18:05:00,59,0,5,7.0,VIAL-2
B2025-00008,FLT-6,FLT,Filter,6,2025-01-17 19:35:00,2025-01-17 20:46:00,71,90,20,7.0,VIAL-2
B2025-00008,FILL-7,FILL,Fill/Pack,7,2025-01-17 20:46:00,2025-01-17 23:43:00,177,0,20,7.0,VIAL-2
