move_id,batch_id,material_id,qty_issued,uom,issue_date,storage_location,lot_id
GM-2025-000001,B2025-00001,RM-009,49.9,pcs,2025-01-07 11:00:00,COLD,LOT-RM-011-0190
GM-2025-000002,B2025-00001,RM-023,45.75,kg,2025-01-07 01:00:00,COLD,LOT-RM-020-0200
GM-2025-000003,B2025-00001,RM-004,69.92,kg,2025-01-06 11:00:00,HAZ,LOT-RM-021-0220
GM-2025-000004,B2025-00001,RM-024,39.75,L,2025-01-06 05:00:00,COLD,LOT-RM-006-0091
GM-2025-000005,B2025-00001,RM-005,57.62,pcs,2025-01-07 15:00:00,RAW2,LOT-RM-023-0082
GM-2025-000006,B2025-00001,RM-001,47.11,pcs,2025-01-06 19:00:00,RAW1,LOT-RM-012-0235
GM-2025-000007,B2025-00001,RM-015,64.92,L,2025-01-07 22:00:00,RAW1,LOT-RM-003-0164
GM-2025-000008,B2025-00001,RM-020,69.63,pcs,2025-01-07 01:00:00,COLD,LOT-RM-017-0160
GM-2025-000009,B2025-00002,RM-009,39.79,pcs,2025-01-07 23:00:00,RAW2,LOT-RM-015-0194
GM-2025-000010,B2025-00002,RM-002,63.14,pcs,2025-01-07 07:00:00,RAW2,LOT-RM-009-0068
GM-2025-000011,B2025-00002,RM-015,60.02,L,2025-01-08 04:00:00,HAZ,LOT-RM-005-0090
GM-2025-000012,B2025-00002,RM-001,38.86,pcs,2025-01-07 04:00:00,HAZ,LOT-RM-008-0230
GM-2025-000013,B2025-00002,RM-016,29.87,L,2025-01-07 06:00:00,RAW2,LOT-RM-009-0044
GM-2025-000014,B2025-00002,RM-020,40.5,pcs,2025-01-07 03:00:00,RAW1,LOT-RM-015-0029
GM-2025-000015,B2025-00002,RM-012,76.55,pcs,2025-01-06 19:00:00,COLD,LOT-RM-011-0233
GM-2025-000016,B2025-00002,RM-003,34.32,kg,2025-01-07 15:00:00,COLD,LOT-RM-015-0194
GM-2025-000017,B2025-00002,RM-023,63.31,kg,2025-01-07 18:00:00,RAW2,LOT-RM-020-0102
GM-2025-000018,B2025-00002,RM-004,60.54,kg,2025-01-07 22:00:00,RAW1,LOT-RM-015-0051
GM-2025-000019,B2025-00002,RM-014,66.07,L,2025-01-06 12:00:00,RAW1,LOT-RM-002-0183
GM-2025-000020,B2025-00002,RM-013,77.9,L,2025-01-07 21:00:00,HAZ,LOT-RM-021-0219
GM-2025-000021,B2025-00003,RM-015,35.81,L,2025-01-07 14:00:00,COLD,LOT-RM-011-0137
GM-2025-000022,B2025-00003,RM-025,64.48,pcs,2025-01-08 03:00:00,HAZ,LOT-RM-021-0035
GM-2025-000023,B2025-00003,RM-018,54.45,kg,2025-01-08 05:00:00,RAW1,LOT-RM-019-0217
GM-2025-000024,B2025-00003,RM-008,36.94,kg,2025-01-09 04:00:00,COLD,LOT-RM-015-0158
GM-2025-000025,B2025-00003,RM-017,43.39,pcs,2025-01-08 17:00:00,RAW1,LOT-RM-023-0083
GM-2025-000026,B2025-00003,RM-003,58.33,kg,2025-01-07 19:00:00,HAZ,LOT-RM-008-0212
GM-2025-000027,B2025-00003,RM-011,36.19,L,2025-01-07 07:00:00,RAW2,LOT-RM-018-0141
