COUNTRY_CODE,REPORTING_SCOPE_NAME,SHE_SITE_CODE,SHE_SITE_IDENTIFIER,SHE_SITE_NAME,SRC_SYS_NM
77180,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR5C2S1,146608,Dubai,ENABLON
77141,Scope 1 & 2,GR6C48S4,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR2aC2S1,146608,Dominican Republic,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Durham - Emperor Boulevard,ENABLON
6,Scope 1 & 2,GR5C2S1,146608,Dubai,ENABLON
75973,Scope 1 & 2,GR6C52S1,146608,Dubai,ENABLON
75032,Scope 1 & 2,GR2aC2S1,146608,Dublin College Park,ENABLON
67739,Scope 1 & 2,GR6C52S1,146608,Dublin College Park,ENABLON
74752,Scope 1 & 2,GR6C48S4,146608,Dominican Republic,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR2aC2S1,146608,Durham - Emperor Boulevard,ENABLON
75649,Scope 1 & 2,GR6C51S4,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR5C2S1,146608,Dublin College Park,ENABLON
70266,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Dublin College Park,ENABLON
77098,Scope 1 & 2,GR6C48S4,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Dunkerque,ENABLON
6,Scope 1 & 2,GR6C48S4,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Dublin College Park,ENABLON
74616,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
76181,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
6,Scope 1 & 2,GR5C2S1,146608,Durham - Emperor Boulevard,ENABLON
74271,Scope 1 & 2,GR6C48S4,146608,Durham - Emperor Boulevard,ENABLON
4867,Scope 1 & 2,GR5C2S1,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Dominican Republic,ENABLON
72125,Scope 1 & 2,GR6C48S4,146608,Dubai,ENABLON
6,Scope 1 & 2,GR6C48S4,146608,Dubai,ENABLON
71728,Scope 1 & 2,GR2aC2S1,146608,Durham - Emperor Boulevard,ENABLON
76396,Scope 1 & 2,GR6C51S4,146608,Dunkerque,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Durham - Emperor Boulevard,ENABLON
76595,Scope 1 & 2,GR6C48S4,146608,Dunkerque,ENABLON
70451,Scope 1 & 2,GR5C2S1,146608,Dunkerque,ENABLON
6,Scope 1 & 2,GR2aC2S1,146608,Dominican Republic,ENABLON
72632,Scope 1 & 2,GR6C48S4,146608,Dominican Republic,ENABLON
71897,Scope 1 & 2,GR6C51S4,146608,Durham - Emperor Boulevard,ENABLON
75899,Scope 1 & 2,GR5C2S1,146608,Dunkerque,ENABLON
76682,Scope 1 & 2,GR5C2S1,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Dunkerque,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Dunkerque,ENABLON
74577,Scope 1 & 2,GR2aC2S1,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR5C2S1,146608,Dunkerque,ENABLON
75599,Scope 1 & 2,GR6C51S4,146608,Dunkerque,ENABLON
6,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
74513,Scope 1 & 2,GR6C48S4,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Dubai,ENABLON
6,Scope 1 & 2,GR6C51S4,146608,Dubai,ENABLON
73203,Scope 1 & 2,GR6C52S1,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Dublin College Park,ENABLON
75246,Scope 1 & 2,GR6C52S1,146608,Dunkerque,ENABLON
6,Scope 1 & 2,GR6C48S4,146608,Dunkerque,ENABLON
76136,Scope 1 & 2,GR6C52S1,146608,Dubai,ENABLON
73900,Scope 1 & 2,GR5C2S1,146608,Dunkerque,ENABLON
73166,Scope 1 & 2,GR2aC2S1,146608,Dunkerque,ENABLON
71081,Scope 1 & 2,GR6C48S4,146608,Durham - Emperor Boulevard,ENABLON
1493,Scope 1 & 2,GR6C51S4,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR5C2S1,146608,Durham - Emperor Boulevard,ENABLON
6,Scope 1 & 2,GR6C52S1,146608,Durham - Emperor Boulevard,ENABLON
76816,Scope 1 & 2,GR5C2S1,146608,Dominican Republic,ENABLON
74800,Scope 1 & 2,GR5C2S1,146608,Dublin College Park,ENABLON
264,Scope 1 & 2,GR5C2S1,146608,Dominican Republic,ENABLON
153,Scope 1 & 2,GR5C2S1,146608,Dominican Republic,ENABLON
75947,Scope 1 & 2,GR6C52S1,146608,Dubai,ENABLON
74882,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
74331,Scope 1 & 2,GR6C48S4,146608,Dunkerque,ENABLON
75291,Scope 1 & 2,GR5C2S1,146608,Dublin College Park,ENABLON
74591,Scope 1 & 2,GR6C51S4,146608,Dominican Republic,ENABLON
72628,Scope 1 & 2,GR6C51S4,146608,Durham - Emperor Boulevard,ENABLON
603,Scope 1 & 2,GR6C48S4,146608,Dominican Republic,ENABLON
1562,Scope 1 & 2,GR2aC2S1,146608,Durham - Emperor Boulevard,ENABLON
1726,Scope 1 & 2,GR6C51S4,146608,Durham - Emperor Boulevard,ENABLON
75235,Scope 1 & 2,GR5C2S1,146608,Dublin College Park,ENABLON
76513,Scope 1 & 2,GR6C51S4,146608,Dunkerque,ENABLON
75202,Scope 1 & 2,GR6C48S4,146608,Durham - Emperor Boulevard,ENABLON
