COUNTRY_CODE,REPORTING_SCOPE_NAME,SHE_SITE_CODE,SHE_SITE_IDENTIFIER,SHE_SITE_NAME,SRC_SYS_NM
2635,Scope 1 & 2,GR2aC2S1,146608,Durham - Emperor Boulevard,ENABLON
76403,Scope 1 & 2,GR6C52S1,146608,Durham - Emperor Boulevard,ENABLON
68203,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Dublin College Park,ENABLON
74043,Scope 1 & 2,GR6C51S4,146608,Dublin College Park,ENABLON
73738,Scope 1 & 2,GR6C51S4,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR2aC2S1,146608,Dunkerque,ENABLON
74545,Scope 1 & 2,GR6C51S4,146608,Dunkerque,ENABLON
72908,Scope 1 & 2,GR6C51S4,146608,Dominican Republic,ENABLON
950,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
72775,Scope 1 & 2,GR5C2S1,146608,Dunkerque,ENABLON
77180,Scope 1 & 2,GR5C2S1,146608,Dominican Republic,ENABLON
74971,Scope 1 & 2,GR6C52S1,146608,Dublin College Park,ENABLON
75335,Scope 1 & 2,GR6C51S4,146608,Dunkerque,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Durham - Emperor Boulevard,ENABLON
70276,Scope 1 & 2,GR6C48S4,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Dunkerque,ENABLON
75237,Scope 1 & 2,GR6C48S4,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR2aC2S1,146608,Durham - Emperor Boulevard,ENABLON
70906,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
77180,Scope 1 & 2,GR5C2S1,146608,Durham - Emperor Boulevard,ENABLON
76325,Scope 1 & 2,GR2aC2S1,146608,Dunkerque,ENABLON
76071,Scope 1 & 2,GR5C2S1,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Dubai,ENABLON
72801,Scope 1 & 2,GR5C2S1,146608,Dominican Republic,ENABLON
73023,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
72846,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
76525,Scope 1 & 2,GR5C2S1,146608,Dominican Republic,ENABLON
3512,Scope 1 & 2,GR2aC2S1,146608,Durham - Emperor Boulevard,ENABLON
71963,Scope 1 & 2,GR5C2S1,146608,Dunkerque,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Dominican Republic,ENABLON
72132,Scope 1 & 2,GR6C51S4,146608,Dublin College Park,ENABLON
74208,Scope 1 & 2,GR2aC2S1,146608,Dublin College Park,ENABLON
5866,Scope 1 & 2,GR5C2S1,146608,Dominican Republic,ENABLON
3466,Scope 1 & 2,GR6C51S4,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR5C2S1,146608,Dublin College Park,ENABLON
6,Scope 1 & 2,GR5C2S1,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Dublin College Park,ENABLON
76270,Scope 1 & 2,GR6C51S4,146608,Durham - Emperor Boulevard,ENABLON
72800,Scope 1 & 2,GR2aC2S1,146608,Dominican Republic,ENABLON
77180,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
862,Scope 1 & 2,GR2aC2S1,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Dunkerque,ENABLON
74996,Scope 1 & 2,GR6C48S4,146608,Dubai,ENABLON
70726,Scope 1 & 2,GR2aC2S1,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR2aC2S1,146608,Dominican Republic,ENABLON
5756,Scope 1 & 2,GR6C51S4,146608,Dublin College Park,ENABLON
75438,Scope 1 & 2,GR6C51S4,146608,Dublin College Park,ENABLON
71472,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
