COUNTRY_CODE,REPORTING_SCOPE_NAME,SHE_SITE_CODE,SHE_SITE_IDENTIFIER,SHE_SITE_NAME,SRC_SYS_NM
77180,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
69708,Scope 1 & 2,GR6C52S1,146608,Dunkerque,ENABLON
6,Scope 1 & 2,GR5C2S1,146608,Dubai,ENABLON
74189,Scope 1 & 2,GR6C48S4,146608,Dunkerque,ENABLON
72890,Scope 1 & 2,GR6C51S4,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Dunkerque,ENABLON
73425,Scope 1 & 2,GR6C48S4,146608,Dublin College Park,ENABLON
6,Scope 1 & 2,GR2aC2S1,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Dominican Republic,ENABLON
70434,Scope 1 & 2,GR6C48S4,146608,Dominican Republic,ENABLON
75695,Scope 1 & 2,GR6C48S4,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Dublin College Park,ENABLON
72049,Scope 1 & 2,GR6C52S1,146608,Dunkerque,ENABLON
77180,Scope 1 & 2,GR6C48S4,146608,Dunkerque,ENABLON
642,Scope 1 & 2,GR6C51S4,146608,Dublin College Park,ENABLON
77180,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
76479,Scope 1 & 2,GR5C2S1,146608,Dunkerque,ENABLON
6,Scope 1 & 2,GR6C52S1,146608,Dubai,ENABLON
73415,Scope 1 & 2,GR5C2S1,146608,Dunkerque,ENABLON
74606,Scope 1 & 2,GR2aC2S1,146608,Dominican Republic,ENABLON
2243,Scope 1 & 2,GR2aC2S1,146608,Dunkerque,ENABLON
72887,Scope 1 & 2,GR6C52S1,146608,Dubai,ENABLON
72294,Scope 1 & 2,GR6C51S4,146608,Dunkerque,ENABLON
9685,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
5000,Scope 1 & 2,GR5C2S1,146608,Dublin College Park,ENABLON
76189,Scope 1 & 2,GR6C52S1,146608,Dominican Republic,ENABLON
73851,Scope 1 & 2,GR6C52S1,146608,Dunkerque,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Dublin College Park,ENABLON
74874,Scope 1 & 2,GR5C2S1,146608,Dublin College Park,ENABLON
4429,Scope 1 & 2,GR6C52S1,146608,Dublin College Park,ENABLON
71494,Scope 1 & 2,GR6C52S1,146608,Dunkerque,ENABLON
73077,Scope 1 & 2,GR5C2S1,146608,Durham - Emperor Boulevard,ENABLON
74805,Scope 1 & 2,GR5C2S1,146608,Durham - Emperor Boulevard,ENABLON
6,Scope 1 & 2,GR5C2S1,146608,Durham - Emperor Boulevard,ENABLON
77180,Scope 1 & 2,GR6C52S1,146608,Dubai,ENABLON
75713,Scope 1 & 2,GR6C48S4,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR5C2S1,146608,Dubai,ENABLON
77180,Scope 1 & 2,GR2aC2S1,146608,Dunkerque,ENABLON
76539,Scope 1 & 2,GR2aC2S1,146608,Dunkerque,ENABLON
76495,Scope 1 & 2,GR6C48S4,146608,Dominican Republic,ENABLON
77180,Scope 1 & 2,GR6C51S4,146608,Durham - Emperor Boulevard,ENABLON
72994,Scope 1 & 2,GR6C52S1,146608,Durham - Emperor Boulevard,ENABLON
1608,Scope 1 & 2,GR5C2S1,146608,Dominican Republic,ENABLON
6,Scope 1 & 2,GR2aC2S1,146608,Dubai,ENABLON
